"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"19053","LOC105373180",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19054","LOC105373181",5.22082639204711,0.00214584844658789,0.0878540985222774,0.768090883333242,NA
"19055","LOC105373182",6.8105203909316,-0.000868489848488703,0.0876737036406374,0.918503628869093,NA
"19056","LOC105373184",0.403501613161141,-0.0019602742718443,0.0881296650298945,0.484388345203557,NA
"19057","LOC105373186",0,NA,NA,NA,NA
"19058","LOC105373188",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19059","LOC105373190",0.605456890995614,-0.0012520502233733,0.088090146671897,0.626065723989258,NA
"19060","LOC105373191",0,NA,NA,NA,NA
"19061","LOC105373193",0.384435601917128,0.0010488069957797,0.0881128302157106,0.654556660136541,NA
"19062","LOC105373194",0.5970140681276,0.000324419703925118,0.0880754503922914,0.896964156466624,NA
"19063","LOC105373195",0.401120128551773,-0.000351422209589845,0.0880879480294254,0.889604290344797,NA
"19064","LOC105373196",0,NA,NA,NA,NA
"19065","LOC105373198",0,NA,NA,NA,NA
"19066","LOC105373201",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19067","LOC105373202",0,NA,NA,NA,NA
"19068","LOC105373204",1.57976210721224,0.00550103240447496,0.0883210523535574,0.0755520595489664,NA
"19069","LOC105373205",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19070","LOC105373206",0,NA,NA,NA,NA
"19071","LOC105373207",0,NA,NA,NA,NA
"19072","LOC105373208",0,NA,NA,NA,NA
"19073","LOC105373209",0.402414782559668,0.00126925283575121,0.0881143480027877,0.611241556135672,NA
"19074","LOC105373210",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19075","LOC105373211",1.20833117828048,0.000701285691779119,0.0880404341692568,0.848171130853424,NA
"19076","LOC105373215",0.796380037946282,-0.00246854585890902,0.0881147005994885,0.418234033588942,NA
"19077","LOC105373218",6.79104543717978,-0.000972060352610715,0.0876629035052329,0.910717103580405,NA
"19078","LOC105373220",0,NA,NA,NA,NA
"19079","LOC105373222",0,NA,NA,NA,NA
"19080","LOC105373223",0,NA,NA,NA,NA
"19081","LOC105373224",0.396558278434419,0.00107768530772951,0.08811313692877,0.643984719723197,NA
"19082","LOC105373225",0,NA,NA,NA,NA
"19083","LOC105373228",0,NA,NA,NA,NA
"19084","LOC105373230",0.192217800958564,0.00067556405067332,0.0881085894483592,0.837474598311692,NA
"19085","LOC105373231",0.192217800958564,0.00067556405067332,0.0881085894483592,0.837474598311692,NA
"19086","LOC105373233",0,NA,NA,NA,NA
"19087","LOC105373234",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19088","LOC105373235",0,NA,NA,NA,NA
"19089","LOC105373239",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19090","LOC105373240",0,NA,NA,NA,NA
"19091","LOC105373241",0,NA,NA,NA,NA
"19092","LOC105373242",0.969531827660833,0.00134924526035054,0.0880859147866729,0.62105336322059,NA
"19093","LOC105373244",2.40256414866907,0.00138400097158034,0.0879778086643429,0.78943349670556,NA
"19094","LOC105373247",4.97399017179423,0.00342692729354447,0.087896359478341,0.646872370278496,NA
"19095","LOC105373250",3.39014225769794,-0.0021919995195559,0.0879337206258861,0.721312270542291,NA
"19096","LOC105373252",2.97077472867675,0.00543957449310127,0.0881953915690981,0.324109769688773,NA
"19097","LOC105373254",0,NA,NA,NA,NA
"19098","LOC105373255",0,NA,NA,NA,NA
"19099","LOC105373255_1",0,NA,NA,NA,NA
"19100","LOC105373258",0,NA,NA,NA,NA
"19101","LOC105373260",0.192217800958564,0.00067556405067332,0.0881085894483592,0.837474598311692,NA
"19102","LOC105373261",1.20723764337396,-0.00289801711815111,0.088102402841392,0.448096220622033,NA
"19103","LOC105373262",2.15314532470545,0.00504091239671185,0.0882531254495904,0.195258273891762,NA
"19104","LOC105373264",6.60509009358125,-0.00341422448886491,0.0877650767997719,0.695852298249948,NA
"19105","LOC105373265",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19106","LOC105373265_1",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19107","LOC105373266",0,NA,NA,NA,NA
"19108","LOC105373266_1",0,NA,NA,NA,NA
"19109","LOC105373269",0.19827913921721,0.000680760553039877,0.0881086841832192,0.837474598311692,NA
"19110","LOC105373270",0.192217800958564,0.00067556405067332,0.0881085894483592,0.837474598311692,NA
"19111","LOC105373271",1.58929176068172,0.000310734027446383,0.0880024506560459,0.944679884427237,NA
"19112","LOC105373273",2.0114534318521,-0.00377856955643764,0.0880910558896469,0.451184013482621,NA
"19113","LOC105373275",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19114","LOC105373277",0,NA,NA,NA,NA
"19115","LOC105373277_1",0,NA,NA,NA,NA
"19116","LOC105373277_2",0,NA,NA,NA,NA
"19117","LOC105373279",0,NA,NA,NA,NA
"19118","LOC105373279_1",0,NA,NA,NA,NA
"19119","LOC105373279_2",0,NA,NA,NA,NA
"19120","LOC105373281",1.19075795087272,-0.000991917927257805,0.0880476725265794,0.780786565722328,NA
"19121","LOC105373282",0,NA,NA,NA,NA
"19122","LOC105373283",0,NA,NA,NA,NA
"19123","LOC105373284",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19124","LOC105373285",0.19827913921721,0.000680760553039877,0.0881086841832192,0.837474598311692,NA
"19125","LOC105373286",0,NA,NA,NA,NA
"19126","LOC105373287",0,NA,NA,NA,NA
"19127","LOC105373288",0,NA,NA,NA,NA
"19128","LOC105373289",17.9679090498239,-0.0091238755244449,0.087649587410569,0.514669679247996,NA
"19129","LOC105373292",10.5391371818318,0.0108231246326507,0.0884527356033479,0.309956672461807,NA
"19130","LOC105373293",1.20376932816312,0.00228550514102834,0.0881010573449882,0.473044991482309,NA
"19131","LOC105373294",0,NA,NA,NA,NA
"19132","LOC105373296",0,NA,NA,NA,NA
"19133","LOC105373298",0,NA,NA,NA,NA
"19134","LOC105373299",0,NA,NA,NA,NA
"19135","LOC105373302",4.90507169974767,0.00842142580044765,0.0885223565401088,0.159860453951154,NA
"19136","LOC105373303",0.791818187828929,-0.000713022007630494,0.0880646761835015,0.813393265340585,NA
"19137","LOC105373304",0,NA,NA,NA,NA
"19138","LOC105373305",0,NA,NA,NA,NA
"19139","LOC105373306",0,NA,NA,NA,NA
"19140","LOC105373311",10.9272385030292,0.00264827539924878,0.0875753970375787,0.796826179971156,NA
"19141","LOC105373312",2.96798430155958,0.0029453189996016,0.0880347728132017,0.570522252330892,NA
"19142","LOC105373313",0,NA,NA,NA,NA
"19143","LOC105373320",0,NA,NA,NA,NA
"19144","LOC105373323",1.58949659481512,0.000273047807988589,0.0880161562337361,0.948220482873555,NA
"19145","LOC105373324",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19146","LOC105373328",0,NA,NA,NA,NA
"19147","LOC105373331",0.398939763043787,-0.000343896951807795,0.0880879889544424,0.8912627168625,NA
"19148","LOC105373332",2.40235632526265,-0.00409048115361801,0.0880865508210972,0.451955674548299,NA
"19149","LOC105373333",0,NA,NA,NA,NA
"19150","LOC105373334",0.7961789188449,-0.000728061294954424,0.0880647224868288,0.809661448025547,NA
"19151","LOC105373335",2.01295590926642,0.00358749533287968,0.0881126333534596,0.418769968848498,NA
"19152","LOC105373336",0,NA,NA,NA,NA
"19153","LOC105373338",0.395058790293127,-0.000364485051893934,0.0880882662687965,0.890183470020546,NA
"19154","LOC105373342",10.1525115208286,-0.00322366830797415,0.087528940567375,0.762263589602956,NA
"19155","LOC105373343",0,NA,NA,NA,NA
"19156","LOC105373344",0,NA,NA,NA,NA
"19157","LOC105373345",0,NA,NA,NA,NA
"19158","LOC105373346",5.38770530506458,-0.000560134853271018,0.0877629283528322,0.9405169300313,NA
"19159","LOC105373347",9.33319718173878,0.0208410482260668,0.0913631644555432,0.0259403961682492,NA
"19160","LOC105373348",0,NA,NA,NA,NA
"19161","LOC105373349",0.192217800958564,0.00067556405067332,0.0881085894483592,0.837474598311692,NA
"19162","LOC105373351",0,NA,NA,NA,NA
"19163","LOC105373352",0,NA,NA,NA,NA
"19164","LOC105373358",0,NA,NA,NA,NA
"19165","LOC105373359",0,NA,NA,NA,NA
"19166","LOC105373367",1.39251210960581,0.00135250202482968,0.0880456799543374,0.722422128895207,NA
"19167","LOC105373369",4.56530921684252,0.00190221720719816,0.0878547259451897,0.790926797719135,NA
"19168","LOC105373370",0,NA,NA,NA,NA
"19169","LOC105373372",0.402414782559668,0.00126925283575121,0.0881143480027877,0.611241556135672,NA
"19170","LOC105373373",0,NA,NA,NA,NA
"19171","LOC105373378",0,NA,NA,NA,NA
"19172","LOC105373379",0,NA,NA,NA,NA
"19173","LOC105373383",4.99345842124101,-0.00377258553055285,0.087889299260845,0.624183428198652,NA
"19174","LOC105373386",3.58228625362597,-0.00328293376789462,0.0879627108350599,0.611104222201319,NA
"19175","LOC105373387",0,NA,NA,NA,NA
"19176","LOC105373389",0,NA,NA,NA,NA
"19177","LOC105373390",0.608522968003689,-0.00248645354466003,0.0881479948282071,0.345169783830892,NA
"19178","LOC105373392",0,NA,NA,NA,NA
"19179","LOC105373392_1",0,NA,NA,NA,NA
"19180","LOC105373393",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19181","LOC105373394",0,NA,NA,NA,NA
"19182","LOC105373395",0,NA,NA,NA,NA
"19183","LOC105373397",0,NA,NA,NA,NA
"19184","LOC105373398",0,NA,NA,NA,NA
"19185","LOC105373399",0,NA,NA,NA,NA
"19186","LOC105373401",1.39101262146451,-0.000445585294439511,0.0880138548706988,0.914113982796049,NA
"19187","LOC105373402",0,NA,NA,NA,NA
"19188","LOC105373404",0,NA,NA,NA,NA
"19189","LOC105373406",1.40749602899778,-0.000344083174972788,0.0880323519973507,0.925773710096543,NA
"19190","LOC105373407",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19191","LOC105373408",0,NA,NA,NA,NA
"19192","LOC105373409",0,NA,NA,NA,NA
"19193","LOC105373411",1.61272149221473,0.00201079068702809,0.0880590584944984,0.610362414619891,NA
"19194","LOC105373414",0,NA,NA,NA,NA
"19195","LOC105373415",0.192217800958564,0.00067556405067332,0.0881085894483592,0.837474598311692,NA
"19196","LOC105373416",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19197","LOC105373417",0,NA,NA,NA,NA
"19198","LOC105373418",0,NA,NA,NA,NA
"19199","LOC105373419",0,NA,NA,NA,NA
"19200","LOC105373421",0,NA,NA,NA,NA
"19201","LOC105373422",56.8231596227828,-0.00819434119792877,0.0853216244976668,0.720886672039273,NA
"19202","LOC105373424",73.529834269031,-0.0114779904615221,0.0856993696493687,0.623767086170843,0.875391410166657
"19203","LOC105373426",1.01113886966474,-0.00349685695570718,0.0881566539245017,0.28618110585784,NA
